eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,count
201701300005,2017,1,30,,1,,4,Afghanistan,6,South Asia,Helmand,Sangin district,32.071931,64.838837,1414
201701300006,2017,1,30,,0,,4,Afghanistan,6,South Asia,Helmand,Kajaki district,32.270119,65.049683,1414
201701310018,2017,1,31,,1,,4,Afghanistan,6,South Asia,Nimroz,Unknown,31.026149,62.450415,1414
201701310022,2017,1,31,,0,,4,Afghanistan,6,South Asia,Badakhshan,Yamgan district,36.436667,70.791111,1414
201701310058,2017,1,31,,1,,4,Afghanistan,6,South Asia,Paktia,Ali Khail district,33.976122,69.682588,1414
201702010003,2017,2,1,,0,,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,31.60063,64.369652,1414
201702010004,2017,2,1,,0,,4,Afghanistan,6,South Asia,Khost,Khost,33.335258,69.928467,1414
201702010005,2017,2,1,,0,,4,Afghanistan,6,South Asia,Khost,Khost,33.335258,69.928467,1414
201702010007,2017,2,1,,0,,4,Afghanistan,6,South Asia,Badakhshan,Yaftal Sufla district,37.318238,70.385732,1414
201702010017,2017,2,1,,0,,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,34.417122,70.449593,1414
201702010037,2017,2,1,,1,,4,Afghanistan,6,South Asia,Badghis,Qadis district,34.855085,63.486204,1414
201702010040,2017,2,1,2017-02-01 00:00:00,0,,4,Afghanistan,6,South Asia,Kandahar,Biabanak,31.610308,64.960533,1414
201702020038,2017,2,2,2017-02-02 00:00:00,0,,4,Afghanistan,6,South Asia,Samangan,Abyak,36.266933,68.019691,1414
201702020042,2017,2,2,,0,,4,Afghanistan,6,South Asia,Kunduz,Kunduz,36.705776,68.87706,1414
201702020045,2017,2,1,2017-02-01 00:00:00,0,,4,Afghanistan,6,South Asia,Kandahar,Maywand district,31.499713,65.000854,1414
201702030012,2017,2,3,,0,,4,Afghanistan,6,South Asia,Helmand,Garmsir district,31.132534,64.212871,1414
201702030013,2017,2,3,,0,,4,Afghanistan,6,South Asia,Helmand,Garmsir district,31.132511,64.212898,1414
201702030014,2017,2,3,,0,,4,Afghanistan,6,South Asia,Nangarhar,Sayed Ahmed,34.290942,70.760212,1414
201702030016,2017,2,2,,0,,4,Afghanistan,6,South Asia,Faryab,Almar district,35.857001,64.550338,1414
201702040026,2017,2,2,,0,,4,Afghanistan,6,South Asia,Paktika,Yosuf Khel district,33.049722,68.645556,1414
201702050012,2017,2,5,,0,,4,Afghanistan,6,South Asia,Kunar,Peroni,34.920556,71.118338,1414
201702060002,2017,2,6,,0,,4,Afghanistan,6,South Asia,Farah,Khaki Safed district,32.677851,61.981391,1414
201702060024,2017,2,6,,0,,4,Afghanistan,6,South Asia,Laghman,Maidani,34.704444,70.239444,1414
201702060027,2017,2,6,,0,,4,Afghanistan,6,South Asia,Badakhshan,Kuran Wa Munjan district,35.93078,70.758318,1414
201702060028,2017,2,6,,0,,4,Afghanistan,6,South Asia,Badakhshan,Kuran Wa Munjan district,35.931442,70.759624,1414
201702060029,2017,2,6,,0,,4,Afghanistan,6,South Asia,Badakhshan,Kuran Wa Munjan district,35.931442,70.759624,1414
201702060030,2017,2,6,,0,,4,Afghanistan,6,South Asia,Nangarhar,Benigah,34.444353,70.499055,1414
201702070001,2017,2,7,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201702080001,2017,2,8,,1,,4,Afghanistan,6,South Asia,Jawzjan,Turkman Qudoq,36.143795,65.444508,1414
201702080002,2017,2,8,,0,,4,Afghanistan,6,South Asia,Paktia,Dand Patan district,33.791667,69.910833,1414
201702090001,2017,2,9,,0,,4,Afghanistan,6,South Asia,Baghlan,Hussainkhel,36.025482,68.674995,1414
201702100015,2017,2,10,,0,,4,Afghanistan,6,South Asia,Laghman,Mihtarlam,34.674866,70.21344,1414
201702100033,2017,2,10,,0,,4,Afghanistan,6,South Asia,Badakhshan,Faizabad,37.10783,70.567558,1414
201702110006,2017,2,11,,0,,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,31.60063,64.369652,1414
201702110029,2017,2,11,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.147011,1414
201702120005,2017,2,11,,0,,4,Afghanistan,6,South Asia,Kunduz,Zakhel,36.703552,68.847084,1414
201702120031,2017,2,12,,0,,4,Afghanistan,6,South Asia,Kandahar,Kandahar,31.631083,65.742226,1414
201702120032,2017,2,11,,0,,4,Afghanistan,6,South Asia,Kunduz,Kunduz,36.705776,68.87706,1414
201702120045,2017,2,12,2017-02-12 00:00:00,0,,4,Afghanistan,6,South Asia,Khost,Gurbuz district,33.228035,69.957803,1414
201702130012,2017,2,13,,0,,4,Afghanistan,6,South Asia,Kandahar,Nawai Kalay,30.956481,66.168925,1414
201702130023,2017,2,12,,0,,4,Afghanistan,6,South Asia,Jawzjan,Unknown,36.896969,65.665857,1414
201702130032,2017,2,13,2017-02-13 00:00:00,0,,4,Afghanistan,6,South Asia,Logar,Unknown,34.014552,69.192392,1414
201702140035,2017,2,14,,0,,4,Afghanistan,6,South Asia,Kunduz,Khanabad district,36.68253,69.115468,1414
201702150005,2017,2,15,,1,,4,Afghanistan,6,South Asia,Jawzjan,Chaar Say,35.997684,65.362643,1414
201702150006,2017,2,15,,1,,4,Afghanistan,6,South Asia,Jawzjan,Chaar Band,35.997684,65.362643,1414
201702150007,2017,2,15,,1,,4,Afghanistan,6,South Asia,Jawzjan,Chel Tapey,35.997684,65.362643,1414
201702150017,2017,2,15,,0,,4,Afghanistan,6,South Asia,Laghman,Mihtarlam,34.674866,70.21344,1414
201702150018,2017,2,15,,0,,4,Afghanistan,6,South Asia,Laghman,Alishing district,34.809055,70.097949,1414
201702150035,2017,2,15,,0,,4,Afghanistan,6,South Asia,Paktia,Shawak district,33.450916,69.377322,1414
201702150037,2017,2,15,,0,,4,Afghanistan,6,South Asia,Faryab,Gordzad,36.183876,64.875046,1414
201702160018,2017,2,16,,0,,4,Afghanistan,6,South Asia,Nangarhar,Dih Bala district,34.09263,70.469225,1414
201702170011,2017,2,18,,1,,4,Afghanistan,6,South Asia,Kunar,Khalkham,34.964444,70.838333,1414
201702170026,2017,2,17,,0,,4,Afghanistan,6,South Asia,Kapisa,Unknown,34.981057,69.621456,1414
201702170033,2017,2,17,,0,,4,Afghanistan,6,South Asia,Helmand,Unknown,31.363647,63.958611,1414
201702180005,2017,2,18,,0,,4,Afghanistan,6,South Asia,Nangarhar,Badar Ghandai,34.290737,70.759587,1414
201702180011,2017,2,18,,0,,4,Afghanistan,6,South Asia,Herat,Soni,34.346947,63.615452,1414
201702180022,2017,2,18,,1,,4,Afghanistan,6,South Asia,Baghlan,Chashma Sher,36.060909,68.593811,1414
201702190004,2017,2,19,,0,,4,Afghanistan,6,South Asia,Laghman,Marwat Kas,34.613056,69.898333,1414
201702190013,2017,2,19,,0,,4,Afghanistan,6,South Asia,Uruzgan,Shah Mansour,32.6562,65.903198,1414
201702190028,2017,2,19,,0,,4,Afghanistan,6,South Asia,Helmand,Unknown,31.363647,63.958611,1414
201702190029,2017,2,19,2017-02-19 00:00:00,0,,4,Afghanistan,6,South Asia,Kabul,Chashma-e-Bulbol,34.591139,68.95694,1414
201702200006,2017,2,18,,0,,4,Afghanistan,6,South Asia,Nangarhar,Kota Wal,34.103056,70.460556,1414
201702200008,2017,2,19,,0,,4,Afghanistan,6,South Asia,Laghman,Alishing district,34.809055,70.097949,1414
201702200033,2017,2,20,,0,,4,Afghanistan,6,South Asia,Faryab,Ghaliban,35.736111,65.356944,1414
201702210005,2017,2,21,,0,,4,Afghanistan,6,South Asia,Kapisa,Alasay district,34.933955,69.819757,1414
201702210036,2017,2,21,,0,,4,Afghanistan,6,South Asia,Kunduz,Unknown,36.728591,68.868066,1414
201702210037,2017,2,21,,0,,4,Afghanistan,6,South Asia,Uruzgan,Shah Mansour,32.6562,65.903198,1414
201702210052,2017,2,21,,0,,4,Afghanistan,6,South Asia,Sari Pul,Unknown,35.670747,66.046353,1414
201702220010,2017,2,20,,0,,4,Afghanistan,6,South Asia,Faryab,Shirin Tagab district,36.23828,64.864446,1414
201702220011,2017,2,22,,0,,4,Afghanistan,6,South Asia,Paktika,Jani Khail district,32.667578,68.493291,1414
201702220012,2017,2,16,,0,,4,Afghanistan,6,South Asia,Paktika,Urgun district,32.965658,69.204782,1414
201702220026,2017,2,22,,0,,4,Afghanistan,6,South Asia,Baghlan,Khalozai,36.117778,68.711944,1414
201702220032,2017,2,21,,0,,4,Afghanistan,6,South Asia,Ghazni,Mansour,32.508056,67.8325,1414
201702220033,2017,2,22,2017-02-22 00:00:00,0,,4,Afghanistan,6,South Asia,Helmand,Garmsir district,31.132511,64.212898,1414
201702230027,2017,2,23,,1,,4,Afghanistan,6,South Asia,Nangarhar,Khogyani district,34.229213,70.193208,1414
201702240012,2017,2,24,,0,,4,Afghanistan,6,South Asia,Helmand,Nahri Saraj district,31.829949,64.568109,1414
201702240013,2017,2,24,2017-02-24 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Abdul Khel,34.070499,70.699944,1414
201702240014,2017,2,24,,1,,4,Afghanistan,6,South Asia,Logar,Dawlatabad,34.150753,69.240073,1414
201702240016,2017,2,24,,0,,4,Afghanistan,6,South Asia,Jawzjan,Sardar,36.001646,65.362895,1414
201702240022,2017,2,24,2017-02-24 00:00:00,0,,4,Afghanistan,6,South Asia,Nangarhar,Achin district,34.08218,70.667035,1414
201702250012,2017,2,25,,0,,4,Afghanistan,6,South Asia,Laghman,Mihtarlam,34.674866,70.21344,1414
201702250019,2017,2,25,2017-02-25 00:00:00,0,,4,Afghanistan,6,South Asia,Ghazni,Ghazni,33.542622,68.415329,1414
201702250020,2017,2,25,2017-02-25 00:00:00,0,,4,Afghanistan,6,South Asia,Ghazni,Waghaz district,33.408889,68.211944,1414
201702250021,2017,2,25,2017-02-25 00:00:00,0,,4,Afghanistan,6,South Asia,Ghazni,Ab Band district,32.983333,67.966667,1414
201702260031,2017,2,25,,0,,4,Afghanistan,6,South Asia,Faryab,Almar district,35.857001,64.550338,1414
